Spørgsmål,Svarmuligheder,Operationalisering (cut-points),Group
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan det skal gå din familie i fremtiden,I høj grad,1,Bekymret for: Hvordan det skal gå din familie i fremtiden
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan det skal gå din familie i fremtiden,I nogen grad,1,Bekymret for: Hvordan det skal gå din familie i fremtiden
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan det skal gå din familie i fremtiden,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan det skal gå din familie i fremtiden,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan det skal gå din familie i fremtiden,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med dine nærmeste om din sygdom,I høj grad,1,Bekymret for: Hvordan du får talt med dine nærmeste om din sygdom
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med dine nærmeste om din sygdom,I nogen grad,1,Bekymret for: Hvordan du får talt med dine nærmeste om din sygdom
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med dine nærmeste om din sygdom,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med dine nærmeste om din sygdom,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du får talt med dine nærmeste om din sygdom,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du skal komme tilbage på arbejde igen,I høj grad,1,Bekymret for: Hvordan du skal komme tilbage på arbejde igen
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du skal komme tilbage på arbejde igen,I nogen grad,1,Bekymret for: Hvordan du skal komme tilbage på arbejde igen
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du skal komme tilbage på arbejde igen,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du skal komme tilbage på arbejde igen,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvordan du skal komme tilbage på arbejde igen,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at have nogen at snakke med,I høj grad,1,Bekymret for: Ikke at have nogen at snakke med
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at have nogen at snakke med,I nogen grad,1,Bekymret for: Ikke at have nogen at snakke med
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at have nogen at snakke med,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at have nogen at snakke med,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Ikke at have nogen at snakke med,Ved ikke/ikke relevant,2,
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvor længe du kan leve med din hjertesygdom,I høj grad,1,Bekymret for: Hvor længe du kan leve med din hjertesygdom
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvor længe du kan leve med din hjertesygdom,I nogen grad,1,Bekymret for: Hvor længe du kan leve med din hjertesygdom
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvor længe du kan leve med din hjertesygdom,I mindre grad,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvor længe du kan leve med din hjertesygdom,Slet ikke,0,I mindre grad/slet ikke
28. Er du i forbindelse med din hjertesygdom bekymret for følgende? Sæt ét kryds i hver linje - Hvor længe du kan leve med din hjertesygdom,Ved ikke/ikke relevant,2,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,"Ja, hele tiden",1,Manglende eller nedsat lyst til sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,"Ja, ofte",1,Manglende eller nedsat lyst til sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,"Ja, ind imellem",1,Manglende eller nedsat lyst til sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,"Ja, men sjældent",0,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,"Nej, aldrig",0,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Manglende eller nedsat lyst til sex,Ikke relevant,2,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,"Ja, hele tiden",1,Nervøsitet for at have sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,"Ja, ofte",1,Nervøsitet for at have sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,"Ja, ind imellem",1,Nervøsitet for at have sex
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,"Ja, men sjældent",0,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,"Nej, aldrig",0,
47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Nervøsitet for at have sex,Ikke relevant,2,
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?","Ja, hele tiden",1,Fysiske problemer i forhold til at have sex
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?","Ja, ofte",1,Fysiske problemer i forhold til at have sex
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?","Ja, ind imellem",1,Fysiske problemer i forhold til at have sex
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?","Ja, men sjældent",0,
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?","Nej, aldrig",0,
"47. Oplever du på grund af din hjertesygdom følgende?  Sæt ét kryds i hver linje - Fysiske problemer i forhold til at have sex (f.eks. problemer med at få rejsning, manglende orgasmefølelse eller manglende evne til at blive fugtig)?",Ikke relevant,2,
"48. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, i forhold til at beskytte dig mod smitte med corona-virus? F.eks. fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I høj grad,0,I nogen grad/i høj grad
"48. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, i forhold til at beskytte dig mod smitte med corona-virus? F.eks. fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I nogen grad,0,I nogen grad/i høj grad
"48. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, i forhold til at beskytte dig mod smitte med corona-virus? F.eks. fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",I mindre grad,1,I mindre grad/slet ikke
"48. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, i forhold til at beskytte dig mod smitte med corona-virus? F.eks. fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",Slet ikke,1,I mindre grad/slet ikke
"48. Har du under corona-pandemien fået den nødvendige information, så du vidste, hvad du skulle gøre, i forhold til at beskytte dig mod smitte med corona-virus? F.eks. fra myndighederne, sundhedsvæsenet eller Hjerteforeningen.",Ved ikke,,
"49. Har du som følge af corona-pandemien fået udskudt behandling (indlæggelse, ambulant behandling, kontrol eller samtale) på hospital?",Ja,1,
"49. Har du som følge af corona-pandemien fået udskudt behandling (indlæggelse, ambulant behandling, kontrol eller samtale) på hospital?",Nej,,
"49. Har du som følge af corona-pandemien fået udskudt behandling (indlæggelse, ambulant behandling, kontrol eller samtale) på hospital?",Ved ikke,,
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I høj grad,1,Bekymringer er begyndt at styre mit liv
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I nogen grad,1,Bekymringer er begyndt at styre mit liv
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,I mindre grad,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,Slet ikke,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Bekymringer som følge af corona-pandemien er begyndt at styre mit liv,Ved ikke,2,
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I høj grad,1,Jeg undgår nødvendig kontakt med læge eller sygehus
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I nogen grad,1,Jeg undgår nødvendig kontakt med læge eller sygehus
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,I mindre grad,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,Slet ikke,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Jeg undgår nødvendig kontakt med læge eller sygehus,Ved ikke,2,
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre f.eks. partner eller børn,I høj grad,1,Mine bekymringer påvirker andre 
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre f.eks. partner eller børn,I nogen grad,1,Mine bekymringer påvirker andre 
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre f.eks. partner eller børn,I mindre grad,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre f.eks. partner eller børn,Slet ikke,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker andre f.eks. partner eller børn,Ved ikke,2,
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I høj grad,1,Mine bekymringer påvirker min søvn og evnen til at fungere
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I nogen grad,1,Mine bekymringer påvirker min søvn og evnen til at fungere
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,I mindre grad,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,Slet ikke,0,I mindre grad/slet ikke
50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer påvirker min søvn og evnen til at fungere,Ved ikke,2,
"50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer f.eks. hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I høj grad,1,Mine bekymringer giver mig vedvarende fysiske symptomer 
"50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer f.eks. hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I nogen grad,1,Mine bekymringer giver mig vedvarende fysiske symptomer 
"50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer f.eks. hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",I mindre grad,0,I mindre grad/slet ikke
"50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer f.eks. hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",Slet ikke,0,I mindre grad/slet ikke
"50. I hvor høj grad oplever du følgende som følge af corona-pandemien? Sæt ét kryds i hver linje - Mine bekymringer giver mig vedvarende fysiske symptomer f.eks. hjertebanken, åndenød, træthed, koncentrationsbesvær eller irritabilitet",Ved ikke,2,
WHO-5,WHO-5 >=50,,
WHO-5,WHO-5 <50,1,Indikation på dårlig trivsel
HADS-anxiety,HADS anxiety 0 - 7,,
HADS-anxiety,HADS anxiety 8 - 10,,
HADS-anxiety,HADS anxiety >=11,1,Symptomer på angst
HADS-depression,HADS depression 0 - 7,,
HADS-depression,HADS depression 8 - 10,,
HADS-depression,HADS depression >=11,1,Symptomer på depression
T-ILS,T-ILS score <7,,
T-ILS,T-ILS score >=7,1,Indikation på svær ensomhed
